kabupaten,forecast_week,predicted_cases
Ende,2024-01-23,0
Enrekang,2024-01-02,0
Enrekang,2024-01-09,0
Enrekang,2024-01-16,0
Enrekang,2024-01-23,0
Fakfak,2024-01-02,0
Fakfak,2024-01-09,0
Fakfak,2024-01-16,0
Fakfak,2024-01-23,1
FloresTimur,2024-01-02,0
FloresTimur,2024-01-09,0
FloresTimur,2024-01-16,0
FloresTimur,2024-01-23,0
Garut,2024-01-02,10
Garut,2024-01-09,12
Garut,2024-01-16,8
Garut,2024-01-23,16
GayoLues,2024-01-02,0
GayoLues,2024-01-09,0
GayoLues,2024-01-16,0
GayoLues,2024-01-23,0
Gianyar,2024-01-02,39
Gianyar,2024-01-09,1
Gianyar,2024-01-16,1
Gianyar,2024-01-23,1
Gorontalo,2024-01-02,0
Gorontalo,2024-01-09,0
Gorontalo,2024-01-16,0
Gorontalo,2024-01-23,0
GorontaloUtara,2024-01-02,0
GorontaloUtara,2024-01-09,0
GorontaloUtara,2024-01-16,0
GorontaloUtara,2024-01-23,0
Gowa,2024-01-02,0
Gowa,2024-01-09,0
Gowa,2024-01-16,0
Gowa,2024-01-23,0
Gresik,2024-01-02,0
Gresik,2024-01-09,4
Gresik,2024-01-16,7
Gresik,2024-01-23,8
Grobogan,2024-01-02,29
Grobogan,2024-01-09,3
Grobogan,2024-01-16,2
Grobogan,2024-01-23,1
GunungKidul,2024-01-02,0
GunungKidul,2024-01-09,0
GunungKidul,2024-01-16,0
GunungKidul,2024-01-23,0
GunungMas,2024-01-02,0
GunungMas,2024-01-09,0
GunungMas,2024-01-16,0
GunungMas,2024-01-23,0
Gunungsitoli,2024-01-02,0
Gunungsitoli,2024-01-09,0
Gunungsitoli,2024-01-16,0
Gunungsitoli,2024-01-23,0
HalmaheraBarat,2024-01-02,0
HalmaheraBarat,2024-01-09,2
HalmaheraBarat,2024-01-16,1
HalmaheraBarat,2024-01-23,1
HalmaheraSelatan,2024-01-02,0
HalmaheraSelatan,2024-01-09,9
HalmaheraSelatan,2024-01-16,52
HalmaheraSelatan,2024-01-23,5
HalmaheraTengah,2024-01-02,0
HalmaheraTengah,2024-01-09,0
HalmaheraTengah,2024-01-16,0
HalmaheraTengah,2024-01-23,0
HalmaheraTimur,2024-01-02,0
HalmaheraTimur,2024-01-09,0
HalmaheraTimur,2024-01-16,0
HalmaheraTimur,2024-01-23,0
HalmaheraUtara,2024-01-02,0
HalmaheraUtara,2024-01-09,0
HalmaheraUtara,2024-01-16,0
HalmaheraUtara,2024-01-23,0
HuluSungaiSelatan,2024-01-02,0
HuluSungaiSelatan,2024-01-09,0
HuluSungaiSelatan,2024-01-16,0
HuluSungaiSelatan,2024-01-23,0
HuluSungaiTengah,2024-01-02,0
HuluSungaiTengah,2024-01-09,0
